EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,EpisodeReturnMean,WinX,EpisodeLengthMean,Tie,WinO,ReturnO,ReturnX
376000,48890,94,16.201,1516.744,1.3325,0.1282,7.95,0.8093,0.0625,0.6512,0.6812
380000,49401,95,16.8635,1533.6074,1.2725,0.1261,7.871,0.811,0.0629,0.6512,0.6212
384000,49909,96,16.9448,1550.5522,1.2561,0.1242,7.851,0.8135,0.0623,0.6671,0.5891
388000,50415,97,16.6324,1567.1847,1.2902,0.1222,7.889,0.8163,0.0615,0.6451,0.6451
392000,50918,98,16.8211,1584.0058,1.3147,0.1201,7.923,0.8192,0.0607,0.6474,0.6674
396000,51421,99,17.208,1601.2138,1.327,0.1179,7.944,0.8224,0.0598,0.6605,0.6665
400000,51923,100,16.7837,1617.9975,1.3338,0.1157,7.955,0.8255,0.0588,0.6709,0.6629
404000,52426,101,16.7052,1634.7027,1.3407,0.1134,7.967,0.8288,0.0578,0.6753,0.6653
408000,52928,102,16.2996,1651.0022,1.3352,0.1113,7.964,0.8315,0.0572,0.6746,0.6606
412000,53443,103,16.0755,1667.0777,1.2807,0.1102,7.862,0.8331,0.0567,0.6353,0.6453
416000,53954,104,15.8334,1682.9112,1.252,0.1087,7.804,0.835,0.0563,0.62,0.632
420000,54460,105,15.9395,1698.8507,1.282,0.107,7.864,0.8374,0.0557,0.641,0.641
424000,54971,106,15.8751,1714.7258,1.2697,0.1057,7.87,0.8388,0.0556,0.6459,0.6239
428000,55479,107,15.7546,1730.4804,1.252,0.1038,7.844,0.841,0.0552,0.652,0.6
432000,55983,108,16.1176,1746.598,1.2943,0.1018,7.902,0.8436,0.0546,0.6761,0.6181
436000,56486,109,16.069,1762.667,1.3202,0.1002,7.949,0.8461,0.0537,0.6701,0.6501
440000,56993,110,16.0263,1778.6933,1.3107,0.0984,7.917,0.8482,0.0533,0.6583,0.6523
444000,57502,111,16.3281,1795.0214,1.3025,0.0973,7.878,0.8501,0.0526,0.6462,0.6562
448000,58008,112,16.2826,1811.304,1.3066,0.0958,7.882,0.8524,0.0518,0.6353,0.6713
452000,58512,113,16.444,1827.748,1.3161,0.0941,7.919,0.8546,0.0513,0.6611,0.6551
456000,59018,114,16.2801,1844.0281,1.2902,0.0931,7.924,0.8561,0.0508,0.6471,0.6431
