EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,Tie,EpisodeLengthMean,WinX,WinO,EpisodeReturnMean
132000,19596,33,15.2896,528.8461,0.3239,7.619,0.4632,0.2129,-1.1831
136000,20129,34,15.2992,544.1454,0.3338,7.56,0.4556,0.2106,-1.153
140000,20671,35,15.4577,559.603,0.3424,7.449,0.4494,0.2082,-1.1042
144000,21200,36,15.2146,574.8176,0.3514,7.489,0.4427,0.2059,-1.1171
148000,21727,37,15.827,590.6446,0.3614,7.574,0.4352,0.2035,-1.1774
152000,22253,38,15.8646,606.5092,0.3707,7.607,0.4284,0.2009,-1.2103
156000,22790,39,16.604,623.1132,0.3791,7.525,0.4223,0.1986,-1.1602
160000,23314,40,16.6542,639.7673,0.3884,7.563,0.4158,0.1958,-1.1831
164000,23850,41,16.8955,656.6629,0.3961,7.553,0.4101,0.1937,-1.1702
168000,24395,42,16.5544,673.2173,0.4034,7.389,0.4045,0.1921,-1.1014
172000,24927,43,16.774,689.9913,0.4116,7.427,0.3989,0.1896,-1.1315
176000,25476,44,16.3642,706.3555,0.4181,7.393,0.3947,0.1872,-1.1071
180000,26014,45,16.5337,722.8892,0.4256,7.359,0.3898,0.1846,-1.0913
184000,26540,46,16.8445,739.7337,0.4333,7.521,0.3847,0.182,-1.1673
188000,27060,47,16.2548,755.9885,0.442,7.638,0.3787,0.1793,-1.2118
192000,27582,48,16.8295,772.818,0.4505,7.671,0.373,0.1765,-1.2376
196000,28102,49,16.6758,789.4938,0.4587,7.681,0.3675,0.1738,-1.2376
200000,28626,50,16.7334,806.2272,0.4664,7.647,0.3624,0.1712,-1.2132
204000,29155,51,16.3982,822.6254,0.4734,7.592,0.3577,0.1689,-1.1917
208000,29682,52,16.3749,839.0003,0.4803,7.575,0.3527,0.167,-1.1874
212000,30210,53,16.3834,855.3837,0.4873,7.575,0.3474,0.1653,-1.1802
216000,30730,54,16.1418,871.5255,0.4946,7.633,0.3419,0.1635,-1.2017
220000,31250,55,15.7004,887.226,0.5018,7.69,0.3371,0.1611,-1.2276
224000,31784,56,15.4594,902.6854,0.5073,7.585,0.3334,0.1593,-1.1716
228000,32335,57,14.8832,917.5686,0.5111,7.359,0.3306,0.1583,-1.054
232000,32883,58,15.1509,932.7195,0.5147,7.281,0.3282,0.1571,-1.0053
236000,33420,59,14.8955,947.615,0.5192,7.356,0.3252,0.1556,-1.0483
240000,33951,60,15.3806,962.9956,0.5242,7.493,0.3215,0.1543,-1.1042
244000,34477,61,15.8296,978.8252,0.5295,7.574,0.317,0.1536,-1.1372
248000,35005,62,15.9552,994.7804,0.5345,7.581,0.3129,0.1527,-1.1544
252000,35536,63,16.5018,1011.2822,0.5393,7.55,0.3091,0.1516,-1.1343
256000,36065,64,16.2049,1027.4872,0.5443,7.552,0.3054,0.1503,-1.1243
260000,36592,65,16.4917,1043.9789,0.5486,7.57,0.3022,0.1492,-1.1143
264000,37133,66,16.6584,1060.6373,0.5518,7.48,0.2987,0.1495,-1.0641
268000,37679,67,16.8223,1077.4596,0.554,7.356,0.2955,0.1504,-0.9981
272000,38219,68,16.8649,1094.3246,0.5568,7.397,0.2926,0.1506,-0.9924
276000,38766,69,16.4347,1110.7593,0.5594,7.358,0.2898,0.1508,-0.9981
280000,39309,70,16.866,1127.6253,0.562,7.331,0.2875,0.1505,-1.0053
284000,39846,71,16.3526,1143.9779,0.5654,7.415,0.2849,0.1497,-1.0397
288000,40401,72,16.2062,1160.1841,0.567,7.315,0.2833,0.1498,-0.9981
292000,40945,73,16.5466,1176.7306,0.5696,7.274,0.2808,0.1496,-0.9909
296000,41482,74,16.386,1193.1166,0.5728,7.402,0.2785,0.1487,-1.0569
300000,42020,75,16.3662,1209.4828,0.5757,7.453,0.2765,0.1478,-1.0798
304000,42551,76,15.929,1225.4118,0.5795,7.478,0.2735,0.147,-1.0784
308000,43078,77,16.3225,1241.7342,0.5838,7.559,0.2708,0.1454,-1.1128
312000,43603,78,15.979,1257.7132,0.5882,7.611,0.2676,0.1442,-1.1516
316000,44125,79,15.9646,1273.6779,0.5928,7.653,0.2646,0.1426,-1.1659
320000,44648,80,15.8589,1289.5367,0.5982,7.652,0.2609,0.141,-1.1845
324000,45169,81,16.0017,1305.5384,0.603,7.663,0.2577,0.1393,-1.196
328000,45688,82,15.7667,1321.3051,0.6074,7.685,0.2544,0.1382,-1.1989
332000,46204,83,15.6471,1336.9522,0.6124,7.722,0.2506,0.1371,-1.2304
336000,46713,84,15.8395,1352.7917,0.6187,7.803,0.2464,0.1349,-1.2921
340000,47246,85,15.9366,1368.7283,0.622,7.673,0.2445,0.1335,-1.2261
344000,47772,86,15.48,1384.2084,0.6261,7.557,0.2419,0.132,-1.1587
348000,48301,87,16.1607,1400.369,0.6296,7.577,0.2401,0.1303,-1.1716
352000,48830,88,16.6771,1417.0461,0.6328,7.557,0.2382,0.1291,-1.1487
356000,49348,89,16.0171,1433.0633,0.6373,7.644,0.2351,0.1276,-1.1888
360000,49865,90,16.2609,1449.3242,0.6415,7.721,0.2325,0.126,-1.2147
364000,50382,91,16.9832,1466.3074,0.646,7.734,0.2294,0.1246,-1.2218
368000,50899,92,16.5801,1482.8875,0.65,7.739,0.227,0.123,-1.2304
372000,51434,93,16.9535,1499.841,0.6526,7.587,0.2258,0.1217,-1.153
376000,51971,94,16.581,1516.422,0.6547,7.472,0.2243,0.121,-1.0999
380000,52505,95,16.538,1532.96,0.6569,7.47,0.2229,0.1202,-1.11
384000,53034,96,17.053,1550.0129,0.6597,7.533,0.2213,0.119,-1.1415
388000,53555,97,16.9334,1566.9463,0.6627,7.619,0.2188,0.1186,-1.1731
392000,54073,98,16.5673,1583.5136,0.6663,7.705,0.2167,0.117,-1.2132
396000,54588,99,16.6158,1600.1294,0.6703,7.743,0.2138,0.1158,-1.2419
400000,55106,100,16.5631,1616.6925,0.6738,7.74,0.2114,0.1147,-1.2405
404000,55635,101,16.589,1633.2815,0.677,7.643,0.2087,0.1143,-1.2017
408000,56153,102,16.1196,1649.4011,0.6807,7.64,0.2057,0.1136,-1.1989
412000,56671,103,15.3849,1664.7859,0.6843,7.718,0.2031,0.1126,-1.2347
416000,57190,104,15.5635,1680.3494,0.6878,7.708,0.2007,0.1115,-1.2347
420000,57720,105,14.9141,1695.2635,0.6906,7.637,0.1989,0.1105,-1.2046
424000,58238,106,15.0838,1710.3472,0.694,7.651,0.1964,0.1096,-1.2175
428000,58756,107,15.0806,1725.4279,0.6969,7.707,0.1948,0.1083,-1.2247
432000,59276,108,15.4178,1740.8457,0.6997,7.703,0.193,0.1073,-1.2017
436000,59798,109,15.578,1756.4237,0.7025,7.673,0.1915,0.1061,-1.2046
440000,60315,110,16.0984,1772.5221,0.7054,7.702,0.1895,0.1051,-1.2218
444000,60832,111,16.1886,1788.7107,0.7079,7.741,0.1874,0.1046,-1.2204
448000,61349,112,16.3586,1805.0693,0.7108,7.735,0.1859,0.1033,-1.2204
452000,61868,113,16.3514,1821.4206,0.7139,7.717,0.184,0.1022,-1.229
456000,62386,114,16.3442,1837.7648,0.7169,7.726,0.1819,0.1012,-1.239
460000,62908,115,16.5824,1854.3472,0.7194,7.703,0.1805,0.1001,-1.2233
464000,63431,116,16.46,1870.8071,0.722,7.645,0.1792,0.0988,-1.206
468000,63958,117,16.5003,1887.3075,0.7236,7.613,0.1784,0.098,-1.1888
472000,64485,118,16.2071,1903.5146,0.725,7.596,0.177,0.098,-1.163
476000,65002,119,16.3581,1919.8727,0.7277,7.66,0.1749,0.0974,-1.1917
480000,65520,120,16.2941,1936.1669,0.7306,7.73,0.173,0.0964,-1.2247
484000,66038,121,16.0139,1952.1808,0.7333,7.726,0.1716,0.0952,-1.2319
488000,66548,122,16.0552,1968.236,0.7366,7.773,0.1694,0.094,-1.2677
492000,67060,123,16.089,1984.325,0.7398,7.829,0.1671,0.0931,-1.2978
496000,67576,124,16.0054,2000.3303,0.7422,7.788,0.165,0.0927,-1.262
500000,68095,125,16.0448,2016.3751,0.7441,7.727,0.1638,0.0921,-1.2261
504000,68614,126,16.3814,2032.7565,0.7461,7.702,0.1618,0.0921,-1.219
508000,69136,127,16.3867,2049.1432,0.7484,7.677,0.1605,0.0911,-1.2204
512000,69656,128,16.4644,2065.6076,0.7506,7.676,0.1596,0.0898,-1.2333
516000,70183,129,16.7252,2082.3328,0.7521,7.642,0.1589,0.0891,-1.2089
520000,70715,130,16.9181,2099.2509,0.7526,7.55,0.1578,0.0896,-1.1487
524000,71243,131,17.0114,2116.2623,0.7536,7.564,0.157,0.0894,-1.1415
528000,71766,132,17.9302,2134.1925,0.755,7.625,0.1556,0.0894,-1.1759
532000,72290,133,17.1936,2151.3861,0.7566,7.644,0.1544,0.089,-1.2032
536000,72811,134,17.087,2168.4731,0.7582,7.647,0.1536,0.0882,-1.1917
540000,73333,135,17.3889,2185.862,0.7597,7.67,0.1525,0.0878,-1.2003
544000,73848,136,17.2629,2203.1249,0.7619,7.704,0.1508,0.0873,-1.2362
548000,74364,137,17.2199,2220.3447,0.7643,7.755,0.1493,0.0865,-1.2577
552000,74877,138,17.0157,2237.3604,0.7665,7.783,0.1477,0.0859,-1.2663
556000,75392,139,17.3116,2254.672,0.7686,7.776,0.1463,0.0851,-1.2562
560000,75909,140,17.1972,2271.8692,0.7706,7.748,0.1447,0.0847,-1.2448
564000,76426,141,17.3847,2289.2539,0.7722,7.741,0.1438,0.0841,-1.239
568000,76953,142,17.2909,2306.5448,0.773,7.656,0.143,0.084,-1.196
572000,77485,143,17.5639,2324.1087,0.7738,7.546,0.1427,0.0835,-1.1501
576000,78016,144,17.8287,2341.9374,0.7742,7.512,0.1426,0.0832,-1.1458
580000,78540,145,17.7033,2359.6407,0.7754,7.587,0.1421,0.0825,-1.1917
584000,79070,146,17.6794,2377.3201,0.776,7.588,0.1425,0.0815,-1.1802
588000,79602,147,17.5157,2394.8358,0.7761,7.518,0.1416,0.0823,-1.1286
592000,80126,148,17.6267,2412.4624,0.7763,7.584,0.1416,0.0822,-1.1243
596000,80651,149,17.3455,2429.8079,0.7769,7.624,0.1412,0.082,-1.13
600000,81173,150,16.6849,2446.4928,0.7774,7.647,0.141,0.0816,-1.1673
604000,81697,151,16.4014,2462.8942,0.7785,7.65,0.1403,0.0812,-1.186
608000,82219,152,16.0067,2478.9009,0.779,7.646,0.1398,0.0812,-1.1759
612000,82738,153,15.9249,2494.8258,0.7802,7.687,0.1387,0.0811,-1.1917
616000,83257,154,15.627,2510.4528,0.7813,7.695,0.1378,0.0809,-1.2003
620000,83779,155,15.8753,2526.3281,0.7823,7.682,0.1372,0.0806,-1.2032
624000,84311,156,15.5573,2541.8853,0.7827,7.577,0.137,0.0802,-1.1659
628000,84835,157,15.636,2557.5213,0.7836,7.591,0.1363,0.0801,-1.1731
632000,85351,158,15.6798,2573.2011,0.7855,7.699,0.1351,0.0794,-1.2319
636000,85873,159,15.9683,2589.1694,0.7867,7.698,0.1342,0.0791,-1.2347
640000,86397,160,16.2825,2605.4519,0.7874,7.657,0.134,0.0786,-1.2003
644000,86921,161,16.4779,2621.9298,0.7886,7.635,0.1334,0.078,-1.2032
648000,87441,162,16.2537,2638.1835,0.7898,7.665,0.1323,0.0778,-1.2161
652000,87965,163,16.5298,2654.7133,0.79,7.654,0.132,0.0779,-1.1817
656000,88493,164,16.6445,2671.3578,0.7904,7.599,0.1316,0.0781,-1.1415
660000,89015,165,16.7032,2688.061,0.7913,7.625,0.1308,0.0779,-1.1688
664000,89533,166,16.2102,2704.2713,0.7923,7.697,0.1296,0.0781,-1.2118
668000,90073,167,16.0969,2720.3681,0.7915,7.549,0.1307,0.0779,-1.1343
672000,90610,168,15.7993,2736.1674,0.7905,7.429,0.1322,0.0773,-1.0612
676000,91139,169,15.8151,2751.9825,0.7901,7.515,0.1332,0.0767,-1.0784
