EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,WinX,EpisodeLengthMean,EpisodeReturnMean,WinO,Tie
544000,73294,136,16.7839,2214.6385,0.1375,7.615,-0.4325,0.0824,0.7801
548000,73816,137,17.0714,2231.7099,0.1364,7.65,-0.4453,0.082,0.7816
552000,74343,138,17.1548,2248.8647,0.1363,7.634,-0.4426,0.0817,0.7819
556000,74869,139,17.1104,2265.9751,0.136,7.595,-0.433,0.0812,0.7827
560000,75394,140,17.0207,2282.9957,0.1354,7.603,-0.4426,0.0804,0.7842
564000,75912,141,17.2216,2300.2173,0.1342,7.667,-0.4533,0.0803,0.7856
568000,76430,142,17.4362,2317.6535,0.1329,7.725,-0.4634,0.0797,0.7874
572000,76953,143,17.7733,2335.4268,0.1323,7.685,-0.4624,0.0793,0.7884
576000,77470,144,17.6571,2353.0838,0.1308,7.691,-0.4554,0.0795,0.7897
580000,77992,145,17.9743,2371.0581,0.1297,7.679,-0.4533,0.0795,0.7908
584000,78509,146,17.8776,2388.9357,0.1289,7.691,-0.4592,0.0786,0.7924
588000,79037,147,17.9328,2406.8685,0.1287,7.644,-0.4474,0.0783,0.7929
592000,79567,148,17.2686,2424.1371,0.1288,7.566,-0.4335,0.078,0.7931
596000,80093,149,17.3659,2441.503,0.1284,7.568,-0.4362,0.0778,0.7937
600000,80616,150,17.3301,2458.8331,0.1282,7.619,-0.4384,0.0773,0.7944
604000,81139,151,17.1605,2475.9937,0.1276,7.644,-0.4453,0.0769,0.7955
608000,81658,152,17.2822,2493.2758,0.127,7.682,-0.4533,0.0765,0.7965
612000,82177,153,16.5867,2509.8626,0.1267,7.707,-0.4458,0.0763,0.797
616000,82700,154,16.6675,2526.53,0.1261,7.672,-0.4421,0.0765,0.7975
620000,83221,155,16.401,2542.931,0.1255,7.669,-0.4485,0.0763,0.7982
624000,83738,156,16.6701,2559.6011,0.1248,7.716,-0.4576,0.0758,0.7994
628000,84251,157,16.7379,2576.339,0.1234,7.763,-0.4736,0.0749,0.8017
632000,84764,158,16.3685,2592.7075,0.122,7.791,-0.4843,0.0741,0.8039
636000,85283,159,16.2508,2608.9583,0.1212,7.745,-0.4747,0.0737,0.805
640000,85801,160,16.0882,2625.0465,0.1199,7.708,-0.4683,0.0733,0.8069
644000,86320,161,16.2842,2641.3307,0.1188,7.716,-0.472,0.0729,0.8084
648000,86839,162,15.8465,2657.1773,0.1178,7.713,-0.4661,0.0728,0.8094
652000,87356,163,15.947,2673.1243,0.1169,7.713,-0.4624,0.0723,0.8107
656000,87871,164,15.2895,2688.4138,0.116,7.744,-0.4688,0.0715,0.8125
660000,88389,165,15.293,2703.7068,0.1155,7.758,-0.4683,0.0711,0.8133
664000,88907,166,15.404,2719.1107,0.115,7.718,-0.4629,0.071,0.8141
668000,89422,167,15.494,2734.6047,0.1138,7.73,-0.4661,0.0706,0.8155
672000,89945,168,15.7669,2750.3716,0.1135,7.713,-0.464,0.0702,0.8163
676000,90465,169,15.9321,2766.3037,0.1127,7.675,-0.457,0.07,0.8172
680000,90988,170,16.2731,2782.5768,0.1122,7.676,-0.457,0.07,0.8178
684000,91518,171,16.0271,2798.6039,0.1122,7.596,-0.4373,0.0706,0.8172
688000,92051,172,16.1519,2814.7559,0.1119,7.532,-0.4223,0.0711,0.817
692000,92580,173,15.9887,2830.7446,0.1119,7.548,-0.4261,0.0713,0.8168
696000,93108,174,15.8005,2846.5451,0.1114,7.58,-0.4384,0.0712,0.8174
700000,93632,175,15.9371,2862.4822,0.1109,7.607,-0.4448,0.0718,0.8173
704000,94145,176,15.8536,2878.3358,0.1098,7.709,-0.4602,0.0713,0.8189
708000,94663,177,15.7596,2894.0954,0.1095,7.764,-0.4736,0.0706,0.8199
712000,95180,178,15.7794,2909.8748,0.1089,7.724,-0.4693,0.0697,0.8213
716000,95692,179,15.9043,2925.7791,0.1081,7.77,-0.4763,0.0689,0.823
720000,96208,180,15.8604,2941.6395,0.1069,7.785,-0.4827,0.0685,0.8246
724000,96723,181,15.7441,2957.3836,0.1061,7.762,-0.4805,0.0678,0.8261
728000,97239,182,15.8667,2973.2503,0.1053,7.776,-0.4784,0.0672,0.8274
732000,97751,183,15.7813,2989.0316,0.1049,7.788,-0.4763,0.0663,0.8287
736000,98266,184,15.6557,3004.6873,0.1043,7.788,-0.4763,0.0656,0.8301
740000,98784,185,15.7646,3020.4519,0.1036,7.741,-0.4763,0.0648,0.8316
744000,99302,186,15.4646,3035.9164,0.1031,7.732,-0.4731,0.0644,0.8325
748000,99824,187,18.2213,3054.1377,0.1023,7.698,-0.464,0.0645,0.8331
752000,100345,188,15.2639,3069.4016,0.1017,7.677,-0.4597,0.0648,0.8335
756000,100863,189,15.1142,3084.5158,0.101,7.699,-0.4597,0.0649,0.8341
760000,101384,190,15.3503,3099.8661,0.1003,7.703,-0.4618,0.0649,0.8348
764000,101906,191,15.4946,3115.3606,0.0995,7.671,-0.456,0.0652,0.8353
768000,102420,192,15.9245,3131.2852,0.0988,7.72,-0.4608,0.065,0.8362
772000,102935,193,15.9056,3147.1908,0.0982,7.776,-0.4709,0.0645,0.8373
776000,103459,194,16.0031,3163.1938,0.0985,7.694,-0.457,0.0642,0.8373
780000,103981,195,16.3046,3179.4985,0.0983,7.64,-0.4512,0.064,0.8377
784000,104497,196,16.0366,3195.5351,0.0976,7.713,-0.4683,0.0638,0.8386
788000,105019,197,16.1413,3211.6763,0.0973,7.72,-0.4677,0.0639,0.8388
792000,105545,198,16.0541,3227.7304,0.0971,7.635,-0.449,0.0643,0.8386
796000,106068,199,15.7815,3243.5119,0.0971,7.605,-0.4448,0.0641,0.8388
800000,106589,200,16.6667,3260.1786,0.0969,7.653,-0.4576,0.0633,0.8399
804000,107114,201,15.7034,3275.882,0.0967,7.654,-0.4581,0.0634,0.8399
808000,107632,202,16.2139,3292.096,0.0961,7.664,-0.4528,0.0638,0.8401
812000,108149,203,15.8767,3307.9726,0.0954,7.727,-0.4581,0.0641,0.8405
816000,108667,204,15.9257,3323.8984,0.0946,7.728,-0.4624,0.0637,0.8417
820000,109193,205,16.2131,3340.1115,0.0959,7.657,-0.4522,0.0629,0.8413
824000,109727,206,16.2458,3356.3573,0.0961,7.536,-0.4325,0.0632,0.8407
828000,110253,207,16.053,3372.4103,0.0961,7.552,-0.4373,0.0634,0.8405
832000,110769,208,15.9129,3388.3232,0.0952,7.681,-0.4629,0.0634,0.8414
836000,111293,209,15.93,3404.2532,0.0951,7.674,-0.4554,0.0637,0.8411
840000,111816,210,16.1501,3420.4033,0.0949,7.645,-0.4453,0.0639,0.8412
844000,112332,211,15.8069,3436.2102,0.0947,7.707,-0.4634,0.0632,0.8421
848000,112854,212,16.0177,3452.2278,0.0946,7.697,-0.4613,0.0631,0.8423
852000,113372,213,15.9125,3468.1404,0.0943,7.698,-0.4661,0.0623,0.8434
856000,113887,214,16.2558,3484.3962,0.094,7.754,-0.4789,0.0618,0.8442
860000,114402,215,16.1304,3500.5266,0.0936,7.767,-0.4789,0.0615,0.8449
864000,114920,216,17.0047,3517.5313,0.093,7.734,-0.4688,0.0617,0.8452
868000,115442,217,16.4606,3533.992,0.0926,7.684,-0.4496,0.0624,0.845
872000,115961,218,16.4679,3550.4599,0.0922,7.689,-0.4458,0.0629,0.845
876000,116481,219,16.4603,3566.9201,0.0917,7.694,-0.448,0.0635,0.8448
880000,117005,220,16.9193,3583.8394,0.0918,7.658,-0.4421,0.0641,0.8441
884000,117528,221,16.9611,3600.8005,0.0917,7.651,-0.4464,0.0642,0.8442
888000,118056,222,16.6127,3617.4132,0.0917,7.62,-0.4437,0.0645,0.8437
892000,118584,223,16.4942,3633.9075,0.0918,7.572,-0.4357,0.065,0.8432
896000,119109,224,16.6454,3650.5528,0.0916,7.595,-0.4384,0.0655,0.8428
900000,119623,225,16.1592,3666.712,0.0912,7.693,-0.4576,0.0654,0.8433
904000,120138,226,16.0982,3682.8102,0.0905,7.772,-0.4763,0.0648,0.8448
908000,120657,227,15.9711,3698.7813,0.0906,7.747,-0.4752,0.064,0.8454
912000,121180,228,16.0898,3714.8711,0.0897,7.669,-0.4602,0.065,0.8453
