EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,EpisodeReturnMean,WinX,EpisodeLengthMean,Tie,WinO
896000,114547,224,16.1264,3623.3351,1.2902,0.026,7.867,0.9528,0.0211
900000,115048,225,15.9347,3639.2698,1.3188,0.0257,7.914,0.9534,0.021
904000,115565,226,15.4254,3654.6952,1.2752,0.0269,7.86,0.9522,0.0209
908000,116079,227,14.9313,3669.6265,1.2356,0.0278,7.76,0.9515,0.0206
912000,116585,228,14.5138,3684.1403,1.2847,0.028,7.841,0.9515,0.0205
916000,117087,229,14.6472,3698.7876,1.327,0.0276,7.939,0.9522,0.0202
920000,117589,230,14.7288,3713.5164,1.3448,0.0272,7.969,0.9528,0.02
924000,118090,231,15.3722,3728.8886,1.342,0.0268,7.967,0.9534,0.0198
928000,118591,232,15.6662,3744.5549,1.3448,0.0265,7.982,0.954,0.0195
932000,119097,233,16.1219,3760.6767,1.3257,0.0263,7.944,0.9541,0.0196
936000,119602,234,16.1665,3776.8432,1.3134,0.0262,7.913,0.9544,0.0194
940000,120106,235,16.2093,3793.0525,1.3216,0.0263,7.928,0.9546,0.0191
944000,120610,236,16.5076,3809.56,1.3325,0.0259,7.944,0.9551,0.019
948000,121116,237,16.6799,3826.24,1.3134,0.0262,7.919,0.955,0.0188
952000,121622,238,17.2586,3843.4986,1.3011,0.0263,7.901,0.9551,0.0187
956000,122126,239,16.8622,3860.3608,1.3107,0.0261,7.93,0.9551,0.0188
960000,122636,240,16.6281,3876.9889,1.2834,0.0264,7.88,0.9544,0.0192
964000,123150,241,16.7931,3893.7819,1.2575,0.0268,7.801,0.9539,0.0193
968000,123654,242,16.751,3910.5329,1.2929,0.0267,7.86,0.9541,0.0192
