EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,WinX,Tie,EpisodeLengthMean,WinO,EpisodeReturnMean
668000,86115,167,15.9958,2710.9295,0.0371,0.9416,7.973,0.0213,-0.4736
672000,86616,168,15.9332,2726.8627,0.0366,0.9425,7.98,0.0209,-0.474
676000,87118,169,16.0258,2742.8885,0.0359,0.9432,7.977,0.0209,-0.4702
680000,87626,170,15.7055,2758.594,0.0361,0.9432,7.924,0.0207,-0.4583
684000,88144,171,15.5514,2774.1454,0.0372,0.9424,7.798,0.0204,-0.4382
688000,88660,172,15.6472,2789.7926,0.0379,0.942,7.734,0.02,-0.4334
692000,89165,173,16.0928,2805.8854,0.0378,0.9425,7.84,0.0197,-0.4535
696000,89667,174,15.9744,2821.8599,0.0374,0.9432,7.938,0.0193,-0.4654
700000,90169,175,15.7838,2837.6437,0.0368,0.944,7.96,0.0191,-0.4683
704000,90671,176,16.0112,2853.6549,0.0361,0.9448,7.969,0.0191,-0.4717
708000,91173,177,15.9722,2869.6271,0.0355,0.9457,7.972,0.0188,-0.4726
712000,91673,178,15.7835,2885.4106,0.0349,0.9467,7.982,0.0184,-0.4745
716000,92174,179,15.5922,2901.0028,0.0343,0.9476,7.992,0.0182,-0.4755
720000,92674,180,15.6847,2916.6875,0.0336,0.9486,7.996,0.0178,-0.4764
724000,93188,181,15.849,2932.5365,0.0331,0.9481,7.882,0.0188,-0.4583
728000,93695,182,15.9583,2948.4948,0.0326,0.9484,7.835,0.0189,-0.4487
732000,94195,183,16.1049,2964.5997,0.032,0.9493,7.948,0.0188,-0.4669
736000,94700,184,16.0794,2980.679,0.0316,0.9498,7.961,0.0186,-0.4693
740000,95204,185,15.6636,2996.3427,0.0313,0.9502,7.928,0.0185,-0.4626
744000,95708,186,15.8299,3012.1726,0.031,0.9508,7.937,0.0183,-0.4654
748000,96208,187,17.9818,3030.1544,0.0304,0.9517,7.969,0.0179,-0.4721
752000,96709,188,15.9273,3046.0817,0.0298,0.9525,7.985,0.0177,-0.474
756000,97230,189,15.6822,3061.7639,0.0309,0.9516,7.82,0.0174,-0.4482
760000,97748,190,15.7347,3077.4986,0.0322,0.9506,7.702,0.0172,-0.4315
764000,98254,191,15.7477,3093.2463,0.0324,0.9506,7.827,0.0169,-0.4497
768000,98756,192,15.8842,3109.1305,0.0321,0.9509,7.929,0.017,-0.4631
772000,99258,193,15.943,3125.0735,0.0319,0.9513,7.966,0.0168,-0.465
776000,99762,194,15.9548,3141.0283,0.0313,0.9515,7.961,0.0171,-0.4611
780000,100263,195,15.9238,3156.9521,0.0308,0.9523,7.96,0.0169,-0.4659
784000,100773,196,15.8562,3172.8083,0.0309,0.952,7.914,0.0171,-0.4607
788000,101279,197,16.2894,3189.0977,0.0307,0.9523,7.874,0.017,-0.454
792000,101779,198,16.0682,3205.1659,0.0302,0.9531,7.945,0.0167,-0.4678
796000,102282,199,15.6502,3220.8161,0.03,0.9536,7.97,0.0164,-0.4707
800000,102787,200,15.9606,3236.7768,0.0297,0.954,7.938,0.0163,-0.465
804000,103287,201,16.1407,3252.9175,0.0291,0.9549,7.965,0.016,-0.4712
808000,103793,202,16.1323,3269.0498,0.029,0.9551,7.954,0.0159,-0.4697
812000,104296,203,15.5438,3284.5936,0.0289,0.9553,7.931,0.0158,-0.464
816000,104803,204,15.769,3300.3626,0.0291,0.9554,7.917,0.0155,-0.4645
820000,105306,205,15.6733,3316.0359,0.0287,0.9559,7.923,0.0153,-0.4674
824000,105807,206,15.6806,3331.7165,0.0282,0.9567,7.971,0.0151,-0.4731
828000,106307,207,15.8995,3347.616,0.0276,0.9575,7.987,0.0149,-0.4745
832000,106808,208,16.1144,3363.7304,0.0272,0.9582,7.989,0.0146,-0.474
836000,107310,209,16.1718,3379.9022,0.0267,0.9589,7.981,0.0144,-0.4736
840000,107810,210,16.6931,3396.5953,0.0263,0.9595,7.978,0.0141,-0.4736
844000,108312,211,16.3675,3412.9628,0.0259,0.9601,7.977,0.014,-0.4736
848000,108814,212,16.499,3429.4618,0.0254,0.9609,7.982,0.0137,-0.4745
852000,109314,213,16.2142,3445.6761,0.025,0.9616,7.987,0.0135,-0.4755
856000,109814,214,16.3498,3462.0258,0.0245,0.9622,7.988,0.0132,-0.476
860000,110316,215,16.3135,3478.3393,0.0241,0.9629,7.988,0.013,-0.476
864000,110817,216,16.0706,3494.4099,0.0237,0.9635,7.985,0.0128,-0.475
868000,111317,217,15.7163,3510.1262,0.0233,0.9642,7.991,0.0125,-0.4745
872000,111818,218,15.7047,3525.8308,0.0228,0.9649,7.995,0.0123,-0.4755
876000,112318,219,15.7706,3541.6015,0.0224,0.9655,7.997,0.0121,-0.4769
880000,112818,220,15.6913,3557.2928,0.022,0.9662,8.0,0.0118,-0.4774
884000,113318,221,16.8542,3574.147,0.0218,0.9666,7.993,0.0117,-0.4745
888000,113819,222,16.319,3590.466,0.0215,0.967,7.987,0.0115,-0.4712
892000,114319,223,15.6418,3606.1078,0.0211,0.9675,7.988,0.0114,-0.4736
896000,114820,224,15.1935,3621.3013,0.0207,0.9681,7.99,0.0112,-0.476
900000,115320,225,15.454,3636.7553,0.0203,0.9687,7.996,0.011,-0.4769
904000,115821,226,15.6561,3652.4114,0.0199,0.969,7.994,0.0111,-0.475
908000,116321,227,15.7159,3668.1273,0.0195,0.9695,7.992,0.011,-0.4736
912000,116823,228,15.7795,3683.9068,0.0193,0.9699,7.977,0.0108,-0.4721
916000,117326,229,16.3278,3700.2346,0.0191,0.9703,7.959,0.0106,-0.4707
920000,117826,230,16.4074,3716.642,0.0187,0.9709,7.98,0.0104,-0.475
924000,118327,231,16.5089,3733.1509,0.0184,0.9714,7.995,0.0102,-0.4769
928000,118829,232,16.6967,3749.8475,0.018,0.9717,7.977,0.0102,-0.4736
932000,119330,233,16.166,3766.0136,0.0177,0.9722,7.974,0.0101,-0.4726
936000,119831,234,16.2834,3782.297,0.0174,0.9726,7.986,0.01,-0.475
940000,120332,235,16.4956,3798.7926,0.0171,0.9731,7.987,0.0099,-0.4755
944000,120832,236,16.8509,3815.6435,0.0168,0.9736,7.991,0.0097,-0.476
948000,121343,237,17.369,3833.0125,0.0166,0.9732,7.91,0.0102,-0.4645
952000,121847,238,16.7899,3849.8023,0.0168,0.973,7.887,0.0102,-0.4597
956000,122354,239,16.8333,3866.6356,0.017,0.9727,7.912,0.0103,-0.4616
960000,122861,240,16.5342,3883.1698,0.017,0.9726,7.89,0.0104,-0.4592
964000,123361,241,16.1628,3899.3326,0.0167,0.9731,7.943,0.0102,-0.4683
